Place| Cat   | Name                    : Rank
217  | 3     | Wilkins, Matthew        : 437
217  | -     | Wilson, Sky             : 437
218  | 3     | Becerra, Cecilia        : 438
218  | 3     | Ensor, Brett            : 438
218  | 3/4/5 | Hamness, Jacob          : 438
218  | 3/4/5 | Hanson, Josiah          : 438
218  | -     | Olsen, Jacob            : 438
218  | -     | Spedini, Stefano        : 438
218  | -     | Wilger, John            : 438
219  | 3     | Johnson, Douglas        : 439
219  | 4     | Kersch, Cymon           : 439
219  | 4     | Lorenz, Richard         : 439
219  | 4     | Tysoe, Joseph           : 439
220  | 3     | Colistro, Anthony       : 440
220  | 5     | Derting, Joe            : 440
220  | -     | Lydamore, Kaya          : 440
220  | -     | Manea, Christopher      : 440
220  | 4     | Zane, Jeremy            : 440
221  | 3     | Hryciw, Gwen            : 441
222  | -     | French, Joseph          : 442
222  | -     | Penner, Daniel          : 442
222  | 3     | Spurr, David            : 442
223  | 5     | Jimenez, Josue          : 443
224  | 3     | Bradley, James          : 444
224  | 5     | Meyer, Jonathan         : 444
224  | 5     | Shimamoto, Connor       : 444
224  | 3/4/5 | Visnack, Natasha        : 444
225  | 3     | Dramer, Nathan          : 445
225  | 2     | Drucker, Benjamin       : 445
225  | 3     | Eder, Chad              : 445
225  | 2     | Lund, Perry             : 445
225  | 1/2   | schroeder, allen        : 445
226  | -     | Austin, Craig           : 446
226  | 2     | Hull, Jacob             : 446
226  | 3     | Mautner, Jacqueline     : 446
226  | 3     | Peterson, Mahika        : 446
227  | 1     | Martin, Eric            : 447
227  | 3     | Smolen, Traci           : 447
228  | 4     | Boelter, Shelly         : 448
228  | -     | Chiles, Derek           : 448
228  | 3     | James, Tyler            : 448
228  | 1     | Orton, Beth Ann         : 448
229  | 4     | Hooker, Whitney         : 450
229  | 5     | Johnson, Seth           : 450
229  | 2     | McCaffrey, John         : 450
229  | -     | Myers, Ronan            : 450
230  | 4     | Carter, Stephen         : 451
230  | 3     | Lugar, Paul             : 451
230  | -     | Mizee, Ketner           : 451
231  | 1/2   | Dale, Steve             : 452
231  | -     | Striley, Doug           : 452
232  | 3     | Wolfgang, Heather       : 453
233  | 4     | Stoller, Mark           : 454
234  | 3     | Bender, Tina            : 455
234  | 4     | Mcfadin, Una            : 455
235  | 2     | Hinkle, Jonathon        : 456
235  | 4     | Lazur, John             : 456
235  | 4     | Podlesak, Ondrej        : 456
235  | 3     | Stephens, Kyle          : 456
235  | -     | Trimble, Nathan         : 456
