Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
7,79, 2, 2,"Chad"	,"Fischer"	,"4"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2016-09-28,""
2,30, 6, 8,"Chad"	,"Fischer"	,"4"	,"Washougal CX"	,"Masters 35+ 4"	,2016-10-23,""
3,99, 7,15,"Chad"	,"Fischer"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ 4"	,2016-10-29,""
4,118, 5,20,"Chad"	,"Fischer"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ 4"	,2016-11-06,"NEEDS UPGRADE"
35, ?, 0, 0,"Chad"	,"Fischer"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ Category 3"	,2016-11-13,"UPGRADED TO 3 WITH 20 POINTS"
5,40, 3, 3,"Eric"	,"Fischer"	,"4"	,"GPTB: Het Meer CX Race"	,"Category C"	,2012-09-09,""
1,29, 7,10,"Eric"	,"Fischer"	,"4"	,"GPTB: Double Cross"	,"Category C"	,2012-09-15,""
1,31, 7,17,"Eric"	,"Fischer"	,"4"	,"GPTB: Zaandercross at Frenchmans Bar"	,"Category C"	,2012-09-22,""
27, ?, 0, 0,"Eric"	,"Fischer"	,"3"	,"Battle at Barlow"	,"Category B"	,2012-09-30,"UPGRADED TO 3 WITH 17 POINTS"
3,54, 5, 5,"Eric"	,"Fischer"	,"3"	,"PIR (Pro Paddock)"	,"Category B"	,2012-11-18,""
4,62, 5,10,"Eric"	,"Fischer"	,"3"	,"Deschutes Brewery"	,"Category B"	,2013-10-26,""
5,49, 3,13,"Eric"	,"Fischer"	,"3"	,"Deschutes Brewery"	,"Category B"	,2013-10-27,""
5,39, 3,16,"Eric"	,"Fischer"	,"3"	,"Barton Park"	,"Category B"	,2013-11-17,""
4,16, 2,13,"Eric"	,"Fischer"	,"3"	,"Battle at Barlow"	,"Category B"	,2014-09-28,""
7,45, 1,14,"Eric"	,"Fischer"	,"3"	,"Heron Lakes"	,"Category B"	,2014-10-19,""
5,48, 3,17,"Eric"	,"Fischer"	,"3"	,"WA County Fairgrounds"	,"Category B"	,2014-10-26,""
5,20, 1, 7,"Eric"	,"Fischer"	,"3"	,"Battle at Barlow"	,"Category B"	,2015-09-27,""
3,49, 5, 6,"Eric"	,"Fischer"	,"3"	,"Portland International Raceway"	,"Category B"	,2015-11-15,""
4,33, 4, 4,"Kris"	,"Fischer"	,"4"	,"Kruger's Kermesse Farm Crit"	,"Men C"	,2015-08-30,""
7,75, 2, 6,"Kris"	,"Fischer"	,"4"	,"Deschutes Brewery"	,"Category C"	,2015-10-31,""
6,72, 3, 9,"Kris"	,"Fischer"	,"4"	,"Portland International Raceway"	,"Category C"	,2015-11-14,""
4,73, 5,14,"Kris"	,"Fischer"	,"4"	,"Portland International Raceway"	,"Category C"	,2015-11-15,""
2,15, 4, 4,"Meghan"	,"Fischer"	,"5"	,"Kruger's Kermesse Farm Crit"	,"Beginner Women"	,2014-08-24,""
2, 7, 2, 6,"Meghan"	,"Fischer"	,"5"	,"DDCX 1"	,"Beginner Women"	,2014-08-30,""
9, ?, 0, 0,"Meghan"	,"Fischer"	,"4"	,"Zaaldercross"	,"Women C"	,2014-09-20,"UPGRADED TO 4 WITH 6 POINTS"
6,25, 2, 2,"Camden"	,"Fisco"	,"3/4/5"	,"Battle at Barlow"	,"Junior Men 3/4/5"	,2017-09-24,""
1, 9, 3, 3,"Annalisa"	,"Fish"	,"5"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Beginner Women"	,2014-09-23,""
1,23, 7, 7,"Annalisa"	,"Fish"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2014-10-01,"UPGRADED TO 3 WITH 3 POINTS"
